timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:14 UTC 202, 4, 15 %, 104 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:17 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:17:17 UTC 202, 3, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:19 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:19 UTC 202, 0, 13 %, 100 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:22 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 6, 11 %, 93 W, 512 MiB
Tue Aug  2 20:17:22 UTC 202, 7, 10 %, 91 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:25 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:25 UTC 202, 6, 11 %, 93 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:27 UTC 202, 4, 15 %, 104 W, 512 MiB
