timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:32 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:32 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:36 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 16:29:36 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:39 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 16:29:39 UTC 202, 4, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:43 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 5, 15 %, 106 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 16:29:43 UTC 202, 3, 13 %, 99 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:47 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 16:29:47 UTC 202, 4, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:49 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:49 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:54 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 16:29:54 UTC 202, 1, 15 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:29:58 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:29:58 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:30:02 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 16:30:02 UTC 202, 7, 13 %, 98 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:30:06 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 16:30:06 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 16:30:10 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 16:30:10 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 16:30:10 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 16:30:10 UTC 202, 3, 13 %, 99 W, 512 MiB
