timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:03:32 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:32 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:03:34 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 18:03:34 UTC 202, 6, 16 %, 107 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:03:38 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:38 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:03:42 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 18:03:42 UTC 202, 3, 13 %, 99 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
