timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:35:45 UTC 202, 7, 13 %, 99 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 2, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 4, 14 %, 103 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 0, 14 %, 102 W, 512 MiB
Wed Oct 19 18:35:45 UTC 202, 3, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:35:50 UTC 202, 7, 13 %, 99 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 3, 14 %, 100 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 2, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 4, 14 %, 103 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:50 UTC 202, 0, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:35:53 UTC 202, 2, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 3, 13 %, 100 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 7, 13 %, 99 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 4, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:53 UTC 202, 0, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:35:57 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 7, 13 %, 99 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 3, 14 %, 100 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 0, 14 %, 102 W, 512 MiB
Wed Oct 19 18:35:57 UTC 202, 4, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 18:36:01 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 18:36:01 UTC 202, 2, 15 %, 103 W, 512 MiB
Wed Oct 19 18:36:01 UTC 202, 7, 13 %, 99 W, 512 MiB
Wed Oct 19 18:36:01 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 18:36:01 UTC 202, 3, 13 %, 100 W, 512 MiB
