timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:38 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:38 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:42 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:42 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:45 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 6, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:45 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:49 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:49 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:52 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:52 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:55 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:55 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:17:59 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:17:59 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:03 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:03 UTC 202, 6, 16 %, 107 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:07 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:07 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:10 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:10 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:13 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:13 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:17 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:17 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:21 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 6, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:21 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:25 UTC 202, 6, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:25 UTC 202, 3, 13 %, 99 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:27 UTC 202, 6, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:18:27 UTC 202, 3, 13 %, 99 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:30 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 3, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:30 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:34 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:34 UTC 202, 4, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:38 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 7, 13 %, 97 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:38 UTC 202, 4, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:41 UTC 202, 2, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:41 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:44 UTC 202, 5, 16 %, 106 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 7, 13 %, 98 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 6, 16 %, 107 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 1, 14 %, 103 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 3, 13 %, 99 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 4, 14 %, 102 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 0, 14 %, 101 W, 32255 MiB
Wed Oct 19 15:18:44 UTC 202, 2, 14 %, 102 W, 32255 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:48 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 5, 16 %, 106 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 1, 15 %, 103 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 0, 14 %, 101 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:48 UTC 202, 7, 13 %, 98 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Wed Oct 19 15:18:51 UTC 202, 6, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 2, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 5, 16 %, 107 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 7, 13 %, 98 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 3, 13 %, 99 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 4, 14 %, 102 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 1, 14 %, 103 W, 512 MiB
Wed Oct 19 15:18:51 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
